Current working directory: /home/qusta100
[RandomSearch] Trial 1/10: score=0.0300, best=0.0300
[RandomSearch] Trial 2/10: score=0.0231, best=0.0231
[RandomSearch] Trial 3/10: score=0.0298, best=0.0231
[RandomSearch] Trial 4/10: score=0.0325, best=0.0231
[RandomSearch] Trial 5/10: score=0.0339, best=0.0231
[RandomSearch] Trial 6/10: score=0.0344, best=0.0231
[RandomSearch] Trial 7/10: score=0.0344, best=0.0231
[RandomSearch] Trial 8/10: score=0.0338, best=0.0231
[RandomSearch] Trial 9/10: score=0.0331, best=0.0231
[RandomSearch] Trial 10/10: score=0.0343, best=0.0231
{'lr': 0.004297100021154879, 'weight_decay': 0.00019205212018125558, 'embed_dim': 8, 'hidden_dim': 128, 'temp_hidden_dim': 128, 'temp_out_per_scale': 64, 'win_hour': 4, 'win_day': 96, 'win_week': 672, 'cheb_K': 2} 0.023065110720250626
